GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
mediscreen-register,com.mediscreen.mediscreenregister.models,PatientInfo,65,160,10,10,9,26,12,16,2,16
mediscreen-register,com.mediscreen.mediscreenregister.models,NoteBean,0,36,0,0,0,16,0,8,0,8
mediscreen-register,com.mediscreen.mediscreenregister.models,PatientIdBean,7,9,0,0,4,4,2,2,2,2
mediscreen-register,com.mediscreen.mediscreenregister.services,PatientInfoServiceImpl,0,59,0,2,0,11,0,9,0,8
mediscreen-register,com.mediscreen.mediscreenregister,MediscreenRegisterApplication,5,3,0,0,2,1,1,1,1,1
mediscreen-register,com.mediscreen.mediscreenregister.controllers,PatientInfoApiController,94,141,10,10,18,26,11,6,2,5
mediscreen-register,com.mediscreen.mediscreenregister.controllers,PatientInfoController,264,7,10,0,67,2,14,1,9,1
mediscreen-register,com.mediscreen.mediscreenregister.DTO,PatientInfoRiskDTO,31,0,0,0,13,0,9,0,9,0
mediscreen-register,com.mediscreen.mediscreenregister.exceptions,FullNameException,0,4,0,0,0,2,0,1,0,1
mediscreen-register,com.mediscreen.mediscreenregister.exceptions,ErrorHandlingControllerAdvice,34,24,0,0,4,4,2,2,2,2
mediscreen-register,com.mediscreen.mediscreenregister.conf,RegisterProperties,6,17,0,0,2,7,2,3,2,3
